purchase_id,sales_person_id,country_id,product_id,purchase_date,amount,boxes_shipped
P000000095,11,6,1,2022-07-15,2919,65
P000000096,14,4,16,2022-01-04,49,97
P000000097,13,3,11,2022-06-20,1827,6
P000000098,21,1,12,2022-06-29,13006,482
P000000099,12,5,1,2022-06-15,1064,106
P000000100,16,5,5,2022-08-04,11571,180
P000000101,18,3,19,2022-03-14,5740,31
P000000102,20,5,12,2022-07-15,1456,359
P000000103,21,2,11,2022-04-19,5334,80
P000000104,12,5,4,2022-03-28,4151,296
P000000105,7,6,21,2022-04-03,8106,101
P000000106,11,4,2,2022-02-08,126,40
P000000107,16,1,21,2022-08-25,4697,42
P000000108,12,5,6,2022-02-25,7798,167
P000000109,21,2,16,2022-07-06,9408,138
P000000110,4,2,21,2022-12-04,1939,520
P000000111,25,2,21,2022-06-07,10906,94
P000000112,21,1,20,2022-01-19,5929,175
P000000113,23,3,12,2022-05-01,5579,92
P000000114,23,6,2,2022-01-24,10927,141
P000000115,19,3,10,2022-06-04,623,283
P000000116,6,3,12,2022-06-15,6013,21
P000000117,3,6,7,2022-01-28,1505,47
P000000118,21,2,8,2022-03-16,476,125
P000000119,8,3,10,2022-02-21,11550,396
P000000120,21,5,13,2022-02-16,17318,87
P000000121,1,6,21,2022-01-13,1848,27
P000000122,21,3,11,2022-03-23,7273,547
P000000123,15,6,21,2022-06-16,854,118
P000000124,5,2,19,2022-04-14,6832,46
P000000125,21,1,11,2022-01-25,4606,57
P000000126,4,2,6,2022-11-03,4466,22
P000000127,24,1,6,2022-07-28,16114,96
P000000128,12,4,5,2022-09-03,1561,44
P000000129,16,3,16,2022-06-28,8897,188
P000000130,12,3,14,2022-07-28,2464,387
P000000131,21,6,4,2022-08-15,4830,50
P000000132,17,3,13,2022-12-01,2765,264
P000000133,13,4,22,2022-03-24,7126,7
P000000134,2,1,14,2022-07-25,4263,90
P000000135,5,6,4,2022-01-08,3605,403
P000000136,2,2,17,2022-05-16,19929,174
P000000137,14,2,20,2022-10-08,5103,140
P000000138,4,2,11,2022-05-01,2541,27
P000000139,25,1,20,2022-11-07,5663,110
P000000140,19,5,5,2022-04-25,392,30
P000000141,3,4,12,2022-04-04,10976,121
P000000142,9,5,19,2022-12-04,9282,101
P000000143,19,4,3,2022-02-08,1827,117
P000000144,3,4,13,2022-06-28,8267,272
P000000145,25,3,11,2022-05-07,4116,128
P000000146,8,4,9,2022-07-06,2093,45
P000000147,7,4,20,2022-01-18,1015,27
P000000148,7,3,7,2022-04-01,12516,212
P000000149,18,3,4,2022-01-31,2758,18
P000000150,21,2,6,2022-03-14,3297,149
P000000151,22,3,2,2022-04-29,6048,477
P000000152,5,2,20,2022-07-02,10101,108
P000000153,17,1,17,2022-03-31,2282,178
P000000154,12,2,8,2022-03-16,4361,81
P000000155,11,1,11,2022-01-25,7798,196
P000000156,2,2,7,2022-06-20,3052,447
P000000157,3,1,5,2022-03-29,8029,175
P000000158,15,3,16,2022-12-07,854,136
P000000159,1,6,20,2022-11-07,5460,138
P000000160,11,6,20,2022-01-19,3017,184
P000000161,20,5,3,2022-05-04,8911,82
P000000162,1,6,14,2022-02-21,7203,12
P000000163,8,4,8,2022-05-20,13083,14
P000000164,10,3,14,2022-07-29,2779,104
P000000165,9,5,12,2022-01-28,9058,46
P000000166,12,1,8,2022-07-19,3549,112
P000000167,10,4,13,2022-04-13,9436,11
P000000168,14,2,18,2022-11-02,10283,21
P000000169,14,4,14,2022-02-03,5446,116
P000000170,25,3,22,2022-02-03,1043,202
P000000171,2,5,4,2022-07-28,12586,6
P000000172,21,2,5,2022-07-01,1687,520
P000000173,7,1,22,2022-12-04,5299,167
P000000174,2,6,6,2022-06-27,3213,72
P000000175,1,3,1,2022-01-14,5194,418
P000000176,11,1,7,2022-07-02,4753,389
P000000177,1,3,16,2022-03-23,13706,26
P000000178,12,2,18,2022-10-01,6489,146
P000000179,5,1,9,2022-03-17,9324,41
P000000180,3,5,21,2022-01-21,10829,54
P000000181,9,3,22,2022-04-07,8113,370
P000000182,17,6,18,2022-04-07,3269,176
P000000183,24,5,13,2022-10-08,273,210
P000000184,18,3,1,2022-01-04,7287,12
P000000185,3,2,19,2022-02-22,2583,159
P000000186,22,1,22,2022-03-01,9982,187
P000000187,11,2,10,2022-05-31,4795,233
P000000188,24,1,4,2022-03-01,9310,282
P000000189,16,4,8,2022-01-27,497,475
P000000190,9,1,1,2022-01-28,581,65
P000000191,15,3,17,2022-06-28,3472,311
P000000192,16,1,9,2022-02-03,4333,43
P000000193,19,3,5,2022-05-27,3325,26
P000000194,18,5,6,2022-06-30,11718,84
P000000195,9,6,18,2022-07-06,2100,78
P000000196,17,5,2,2022-12-05,4018,100
P000000197,9,4,19,2022-07-29,6468,66
P000000198,18,1,22,2022-03-08,7238,265
P000000199,9,2,7,2022-08-18,6454,141
P000000200,2,4,20,2022-06-14,3115,42
P000000201,13,1,22,2022-06-30,6475,76
P000000202,22,4,15,2022-06-13,1162,190
P000000203,25,1,16,2022-04-27,14238,54
P000000204,4,3,22,2022-07-27,3472,32
P000000205,10,6,3,2022-04-20,1428,424
P000000206,8,2,21,2022-04-01,8064,134
P000000207,25,3,15,2022-02-21,9660,92
P000000208,11,3,22,2022-05-01,7357,48
P000000209,13,2,10,2022-07-15,6055,46
P000000210,7,3,9,2022-05-25,5124,62
P000000211,11,6,11,2022-04-20,3479,358
P000000212,3,5,4,2022-02-06,784,249
P000000213,12,1,20,2022-05-13,18991,88
P000000214,13,4,7,2022-03-08,1372,144
P000000215,13,3,14,2022-05-25,735,390
P000000216,2,1,19,2022-03-16,6538,79
P000000217,4,3,16,2022-04-07,3199,122
P000000218,1,2,1,2022-05-07,3472,135
P000000219,23,5,5,2022-03-15,4571,430
P000000220,9,1,19,2022-08-22,5481,69
P000000221,25,3,2,2022-12-01,3136,125
P000000222,12,1,7,2022-10-06,252,154
P000000223,17,3,18,2022-03-25,5460,286
P000000224,8,2,6,2022-07-27,3395,99
P000000225,16,1,8,2022-04-15,14938,433
P000000226,14,2,16,2022-06-27,4053,19
P000000227,1,1,2,2022-04-14,5565,258
P000000228,16,3,13,2022-03-15,7161,92
P000000229,23,5,11,2022-03-18,8883,200
P000000230,7,2,11,2022-04-29,1351,61
P000000231,10,4,22,2022-02-25,3171,246
P000000232,16,5,14,2022-02-03,854,56
P000000233,2,3,14,2022-06-20,7910,87
P000000234,13,6,22,2022-07-15,9275,173
P000000235,24,3,1,2022-12-05,3108,252
P000000236,10,4,17,2022-01-07,5075,256
P000000237,16,5,3,2022-08-08,378,54
P000000238,23,3,1,2022-07-25,7350,6
P000000239,19,1,10,2022-05-18,3388,55
P000000240,22,2,18,2022-07-15,11837,277
P000000241,15,2,2,2022-05-07,2282,44
P000000242,10,5,13,2022-04-07,5425,96
P000000243,24,1,2,2022-06-20,1267,216
P000000244,6,3,6,2022-01-25,3752,424
P000000245,17,4,21,2022-01-07,7728,37
P000000246,3,5,1,2022-04-13,2296,59
P000000247,13,1,20,2022-04-05,4403,76
P000000248,13,3,7,2022-04-08,3192,109
P000000249,13,2,2,2022-01-06,448,146
P000000250,1,1,9,2022-04-22,4270,185
P000000251,17,5,1,2022-03-08,70,27
P000000252,25,5,16,2022-10-06,1743,69
P000000253,6,1,13,2022-06-27,6762,46
P000000254,12,3,20,2022-03-01,3745,170
P000000255,12,2,5,2022-11-07,2639,179
P000000256,25,4,14,2022-08-17,4389,126
P000000257,8,5,12,2022-01-18,2604,65
P000000258,25,2,17,2022-08-03,16569,99
P000000259,10,3,16,2022-07-03,14658,275
P000000260,16,2,2,2022-09-05,6454,157
P000000261,9,4,3,2022-05-23,2100,157
P000000262,23,1,8,2022-04-15,161,145
P000000263,3,3,10,2022-07-27,2807,139
P000000264,12,6,9,2022-08-22,2639,406
P000000265,25,5,2,2022-11-05,4571,122
P000000266,23,2,17,2022-01-26,4781,38
P000000267,9,5,1,2022-04-14,13034,117
P000000268,18,4,15,2022-05-04,6454,417
P000000269,12,4,20,2022-06-14,8484,57
P000000270,7,6,6,2022-04-13,4781,125
P000000271,13,3,22,2022-06-27,2240,166
P000000272,24,3,11,2022-01-26,6979,3
P000000273,9,1,22,2022-05-07,1652,72
P000000274,13,6,7,2022-11-01,13447,95
P000000275,21,5,22,2022-07-03,9422,22
P000000276,17,6,1,2022-04-03,8687,100
P000000277,11,6,17,2022-07-15,2415,312
P000000278,17,1,18,2022-11-05,6272,86
P000000279,11,5,14,2022-01-27,4389,7
P000000280,11,2,16,2022-06-27,3122,149
P000000281,25,2,20,2022-03-08,8043,18
P000000282,19,4,15,2022-08-19,11662,242
P000000283,19,3,12,2022-06-15,392,102
P000000284,18,1,18,2022-07-02,8925,158
P000000285,11,3,6,2022-08-07,7294,128
P000000286,18,2,14,2022-04-21,1526,96
P000000287,25,1,15,2022-08-04,2688,209
P000000288,16,3,1,2022-08-19,14889,52
P000000289,4,2,12,2022-04-05,2912,55
P000000290,10,5,3,2022-11-05,2632,108
P000000291,10,5,11,2022-03-22,6328,51
P000000292,18,6,21,2022-10-08,2527,216
P000000293,18,5,12,2022-04-05,1414,318
P000000294,21,5,4,2022-08-18,7714,238
P000000295,24,6,19,2022-03-08,4347,238
P000000296,12,4,14,2022-01-14,7490,315
P000000297,23,3,9,2022-08-04,2058,72
P000000298,21,1,16,2022-01-08,3640,3
P000000299,18,6,11,2022-03-15,455,45
P000000300,11,2,15,2022-07-15,10990,184
P000000301,9,4,6,2022-01-13,5558,127
P000000302,10,3,3,2022-08-26,2541,53
P000000303,25,6,11,2022-10-01,1876,172
P000000304,3,3,22,2022-11-05,5523,87
P000000305,13,4,3,2022-08-30,11200,22
P000000306,17,5,8,2022-07-21,5593,122
P000000307,10,3,6,2022-01-08,7882,125
P000000308,7,6,3,2022-02-17,10241,259
P000000309,7,3,10,2022-07-27,6832,156
P000000310,24,5,16,2022-02-23,1379,107
P000000311,8,3,1,2022-03-22,3010,40
P000000312,18,2,4,2022-06-23,6888,311
P000000313,15,1,22,2022-01-02,1540,73
P000000314,21,3,5,2022-02-03,6916,288
P000000315,3,1,12,2022-06-04,1232,86
P000000316,6,3,19,2022-03-17,602,72
P000000317,15,1,12,2022-06-24,10927,136
P000000318,9,6,1,2022-07-19,10185,303
P000000319,15,5,21,2022-11-07,1603,264
P000000320,7,2,6,2022-01-13,2170,218
P000000321,5,4,20,2022-07-07,8673,60
P000000322,4,2,3,2022-05-25,4760,418
P000000323,12,2,12,2022-04-13,4753,151
P000000324,20,4,1,2022-02-03,3374,202
P000000325,6,6,19,2022-06-23,2058,126
P000000326,21,5,10,2022-07-26,6454,160
P000000327,2,6,22,2022-03-22,420,3
P000000328,8,5,7,2022-09-06,2863,58
P000000329,2,3,8,2022-05-17,5936,59
P000000330,25,4,18,2022-04-03,889,273
P000000331,21,6,14,2022-07-07,16016,28
P000000332,18,6,9,2022-01-13,10479,118
P000000333,15,3,6,2022-07-13,2912,75
P000000334,23,3,3,2022-06-16,1575,329
P000000335,3,1,1,2022-07-18,8197,69
P000000336,25,1,13,2022-05-30,4221,395
P000000337,3,1,2,2022-06-21,840,81
P000000338,1,3,18,2022-06-24,5691,38
P000000339,12,2,11,2022-01-13,3472,96
P000000340,15,6,12,2022-04-04,4193,195
P000000341,17,1,20,2022-08-06,9016,554
P000000342,11,6,21,2022-02-08,6328,47
P000000343,21,5,17,2022-07-21,9870,152
P000000344,15,2,21,2022-06-20,161,134
P000000345,14,2,5,2022-06-22,2576,112
P000000346,22,3,8,2022-02-05,3178,16
P000000347,15,3,4,2022-07-01,4676,84
P000000348,10,1,1,2022-02-21,5502,99
P000000349,25,6,7,2022-03-21,7462,371
P000000350,2,1,10,2022-04-04,5803,136
P000000351,6,6,12,2022-03-24,13888,203
P000000352,6,4,21,2022-06-28,6867,183
P000000353,6,3,10,2022-01-14,2317,195
P000000354,11,4,12,2022-07-02,1218,135
P000000355,18,4,10,2022-11-01,4109,197
P000000356,1,2,4,2022-02-25,1953,242
P000000357,24,3,15,2022-01-08,6790,25
P000000358,14,3,15,2022-05-05,6797,252
P000000359,23,4,19,2022-05-18,9226,415
P000000360,24,4,9,2022-04-01,5733,348
P000000361,14,4,1,2022-09-05,4312,211
P000000362,8,2,20,2022-06-05,1638,81
P000000363,16,1,22,2022-01-13,10815,145
P000000364,14,3,6,2022-06-24,4466,74
P000000365,2,5,8,2022-02-14,987,21
P000000366,22,3,4,2022-01-18,4669,101
P000000367,17,2,14,2022-02-05,2905,91
P000000368,25,3,20,2022-05-16,7490,54
P000000369,10,5,6,2022-01-28,6986,368
P000000370,17,6,4,2022-06-24,1288,409
P000000371,5,1,5,2022-07-18,2345,104
P000000372,6,1,11,2022-04-13,3619,164
P000000373,24,5,8,2022-04-15,16982,76
P000000374,4,2,18,2022-04-01,8092,178
P000000375,16,3,11,2022-04-07,6993,31
P000000376,13,5,20,2022-03-24,2317,352
P000000377,22,3,13,2022-03-17,637,169
P000000378,5,3,6,2022-02-15,6034,223
P000000379,4,5,16,2022-06-29,980,146
P000000380,3,5,12,2022-05-24,2821,112
P000000381,10,1,14,2022-10-01,3563,284
P000000382,15,5,19,2022-03-15,2996,139
P000000383,12,6,14,2022-08-02,2436,309
P000000384,7,2,8,2022-02-25,1540,100
P000000385,6,5,11,2022-03-05,6916,42
P000000386,14,5,12,2022-06-14,5509,24
P000000387,6,2,1,2022-09-08,12992,83
P000000388,19,4,13,2022-11-07,3724,234
P000000389,17,1,13,2022-01-14,7133,118
P000000390,2,6,13,2022-02-24,8617,46
P000000391,19,4,6,2022-03-15,9198,144
P000000392,5,4,7,2022-04-25,11823,47
P000000393,18,3,17,2022-10-05,5775,41
P000000394,12,3,21,2022-06-23,13125,275
P000000395,13,6,20,2022-02-28,14287,370
P000000396,7,5,17,2022-05-25,16233,138
P000000397,14,4,7,2022-02-22,5313,215
P000000398,2,1,3,2022-11-07,3577,134
P000000399,12,6,21,2022-03-01,3528,336
P000000400,8,4,2,2022-08-24,679,280
P000000401,13,5,1,2022-07-28,2450,352
P000000402,7,5,15,2022-05-25,10577,150
P000000403,11,4,11,2022-06-05,2597,177
P000000404,9,2,10,2022-01-28,2219,142
P000000405,12,1,16,2022-06-06,11319,12
P000000406,7,4,7,2022-12-07,5978,24
P000000407,25,6,21,2022-05-08,5327,183
P000000408,7,5,16,2022-01-28,6020,147
P000000409,17,2,21,2022-08-31,5614,137
P000000410,10,5,1,2022-04-19,1736,13
P000000411,10,1,15,2022-06-29,6384,2
P000000412,13,2,9,2022-02-24,3577,261
P000000413,23,1,20,2022-04-03,14539,84
P000000414,3,2,11,2022-06-21,3493,68
P000000415,8,3,17,2022-01-26,994,105
P000000416,5,4,22,2022-10-06,4361,40
P000000417,20,1,10,2022-05-23,1554,65
P000000418,21,2,14,2022-04-15,966,107
P000000419,11,4,8,2022-01-31,5334,227
P000000420,20,4,17,2022-04-03,4935,39
P000000421,9,4,5,2022-04-19,10024,84
P000000422,13,1,6,2022-05-16,2506,100
P000000423,5,3,19,2022-02-17,1043,120
P000000424,18,5,19,2022-01-18,6524,257
P000000425,14,6,16,2022-09-02,8148,85
P000000426,10,6,16,2022-03-23,3577,178
P000000427,23,4,8,2022-01-02,3374,151
P000000428,10,2,10,2022-07-03,3948,142
P000000429,25,1,22,2022-03-01,3269,226
P000000430,25,5,22,2022-11-02,5271,341
P000000431,18,4,16,2022-03-16,4571,140
P000000432,24,2,22,2022-08-15,12327,330
P000000433,3,2,13,2022-12-05,4935,73
P000000434,2,2,21,2022-11-04,6167,4
P000000435,4,4,15,2022-06-30,18340,285
P000000436,24,4,22,2022-06-15,7014,60
P000000437,8,6,8,2022-01-08,7119,101
P000000438,17,5,14,2022-06-15,15491,58
P000000439,7,2,5,2022-06-16,5747,45
P000000440,5,4,19,2022-05-13,4550,281
P000000441,18,5,10,2022-10-05,2191,138
P000000442,5,2,11,2022-08-25,5663,322
P000000443,25,4,17,2022-07-15,7623,85
P000000444,3,1,7,2022-05-16,9023,409
P000000445,4,3,1,2022-06-14,3402,182
P000000446,13,3,20,2022-01-25,10507,467
P000000447,25,5,17,2022-07-28,7721,14
P000000448,7,6,15,2022-01-28,5033,178
P000000449,17,1,16,2022-06-29,1960,191
P000000450,11,3,2,2022-06-24,238,317
P000000451,6,6,15,2022-01-07,7756,410
P000000452,14,5,18,2022-02-25,1736,137
P000000453,15,6,20,2022-01-08,2660,12
P000000454,5,3,14,2022-06-21,7672,254
P000000455,22,4,21,2022-01-25,11564,24
P000000456,3,1,14,2022-05-17,1365,232
P000000457,20,3,3,2022-08-23,4186,233
P000000458,22,3,20,2022-03-03,7406,118
P000000459,14,2,8,2022-05-30,8911,543
P000000460,11,5,10,2022-06-29,112,223
P000000461,20,6,17,2022-04-01,8204,204
P000000462,1,3,10,2022-01-14,2611,65
P000000463,11,5,15,2022-02-15,15652,53
P000000464,15,4,21,2022-10-01,4074,469
P000000465,23,5,22,2022-04-05,12250,213
P000000466,20,5,21,2022-05-23,2366,5
P000000467,9,4,12,2022-04-26,1687,147
P000000468,5,6,17,2022-05-07,1232,74
P000000469,23,1,17,2022-07-21,6965,163
P000000470,24,5,15,2022-02-21,5292,248
P000000471,21,5,16,2022-03-02,1379,138
P000000472,3,3,8,2022-08-07,8001,151
P000000473,10,2,1,2022-05-31,588,139
P000000474,2,4,15,2022-06-27,4046,103
P000000475,2,2,1,2022-05-13,5103,129
P000000476,2,5,13,2022-05-31,2317,102
P000000477,19,5,16,2022-02-28,7042,37
P000000478,9,4,11,2022-03-28,6713,31
P000000479,3,5,5,2022-01-14,1848,227
P000000480,9,4,15,2022-02-21,6440,145
P000000481,18,6,3,2022-01-08,10885,90
P000000482,13,4,20,2022-05-19,2387,59
P000000483,16,5,22,2022-07-13,2030,60
P000000484,20,3,18,2022-04-20,6678,148
P000000485,18,2,3,2022-06-30,4515,22
P000000486,15,1,1,2022-08-03,3374,142
P000000487,6,5,12,2022-09-03,5852,93
P000000488,5,6,19,2022-06-16,1750,208
P000000489,3,1,10,2022-06-30,5782,42
P000000490,21,2,15,2022-07-28,2870,120
P000000491,11,6,18,2022-12-08,3094,159
P000000492,9,1,15,2022-07-07,3724,316
P000000493,9,5,3,2022-08-25,12761,47
P000000494,16,6,11,2022-01-17,3696,233
P000000495,4,3,2,2022-04-03,5222,384
P000000496,12,4,12,2022-08-25,8939,4
P000000497,25,1,18,2022-04-15,2156,260
P000000498,17,5,17,2022-11-03,2380,22
P000000499,22,5,19,2022-05-20,3339,18
P000000500,7,4,13,2022-06-14,14980,42
P000000501,1,4,5,2022-04-14,1512,73
P000000502,1,5,20,2022-07-07,6657,154
P000000503,23,2,15,2022-08-24,3836,71
P000000504,1,2,11,2022-02-24,8771,127
P000000505,11,6,19,2022-09-05,651,224
P000000506,17,3,2,2022-08-02,6706,223
P000000507,14,1,2,2022-03-24,1421,284
P000000508,8,5,10,2022-06-20,8526,73
P000000509,10,6,13,2022-07-03,1435,112
P000000510,17,3,12,2022-06-20,7434,85
P000000511,5,4,17,2022-02-17,15316,270
P000000512,23,1,4,2022-01-26,10479,45
P000000513,23,3,15,2022-02-05,2751,153
P000000514,15,6,4,2022-07-07,12586,7
P000000515,8,3,7,2022-08-22,2786,51
P000000516,11,3,5,2022-11-08,2303,67
P000000517,12,1,4,2022-01-13,8113,194
P000000518,6,3,1,2022-02-03,12271,116
P000000519,12,3,9,2022-07-27,11298,41
P000000520,21,4,10,2022-10-03,15855,111
P000000521,13,5,3,2022-08-23,12404,334
P000000522,14,5,11,2022-04-25,3990,155
P000000523,18,1,14,2022-07-03,10808,407
P000000524,19,1,17,2022-12-07,4858,52
P000000525,23,5,16,2022-05-16,7742,138
P000000526,6,2,20,2022-02-03,3752,70
P000000527,12,4,3,2022-05-30,1218,149
P000000528,12,1,13,2022-10-06,10983,179
P000000529,7,5,4,2022-07-25,6769,353
P000000530,13,4,15,2022-09-06,4361,97
P000000531,18,5,14,2022-12-05,777,60
P000000532,6,5,10,2022-09-05,3843,5
P000000533,7,6,13,2022-09-08,6930,182
P000000534,2,2,9,2022-04-13,5733,114
P000000535,20,5,8,2022-02-05,8393,46
P000000536,24,5,4,2022-09-08,3822,320
P000000537,22,3,19,2022-08-23,6342,178
P000000538,6,2,21,2022-05-13,6510,170
P000000539,11,5,13,2022-01-02,10171,67
P000000540,22,5,1,2022-06-23,5908,301
P000000541,23,1,9,2022-05-24,10164,134
P000000542,4,6,15,2022-01-04,1064,211
P000000543,22,6,2,2022-07-27,9716,151
P000000544,25,2,18,2022-01-27,22050,208
P000000545,4,2,9,2022-12-08,2541,134
P000000546,3,6,6,2022-01-02,9989,49
P000000547,8,2,5,2022-02-03,4739,204
P000000548,21,3,4,2022-06-30,3185,34
P000000549,24,3,21,2022-01-17,8225,91
P000000550,7,5,14,2022-07-07,14301,130
P000000551,10,4,15,2022-01-31,1316,107
P000000552,13,1,4,2022-10-08,3486,121
P000000553,13,5,18,2022-08-18,13930,339
P000000554,7,4,22,2022-06-15,5509,321
P000000555,12,5,7,2022-01-26,8470,9
P000000556,21,5,21,2022-04-29,77,69
P000000557,10,6,22,2022-03-03,3381,72
P000000558,17,3,6,2022-02-22,4102,392
P000000559,5,5,20,2022-04-03,3577,158
P000000560,18,2,20,2022-07-07,2975,9
P000000561,22,4,8,2022-06-17,4137,347
P000000562,4,6,8,2022-02-08,9541,114
P000000563,5,5,7,2022-12-08,8001,120
P000000564,23,4,18,2022-01-28,5152,333
P000000565,21,3,16,2022-04-29,11116,432
P000000566,12,3,13,2022-05-04,13076,236
P000000567,17,6,13,2022-01-18,10213,135
P000000568,1,1,7,2022-05-16,2485,97
P000000569,21,3,22,2022-08-24,8715,168
P000000570,15,2,3,2022-01-18,273,402
P000000571,17,5,11,2022-08-22,7623,10
P000000572,6,1,4,2022-07-03,7,84
P000000573,13,1,9,2022-04-03,3010,69
P000000574,24,6,13,2022-04-22,11550,111
P000000575,17,3,14,2022-09-06,4046,89
P000000576,4,6,12,2022-07-25,8904,199
P000000577,4,2,20,2022-03-08,11298,89
P000000578,8,3,13,2022-03-08,4396,131
P000000579,1,1,14,2022-03-05,12068,227
P000000580,16,6,5,2022-01-19,9772,301
P000000581,14,5,1,2022-11-02,10458,316
P000000582,2,2,6,2022-06-14,6426,390
P000000583,21,5,1,2022-03-23,6188,223
P000000584,23,6,3,2022-02-17,7504,101
P000000585,18,6,20,2022-03-17,1750,479
P000000586,10,3,21,2022-06-29,5439,287
P000000587,25,6,9,2022-08-24,15547,269
P000000588,3,6,21,2022-04-07,11956,277
P000000589,14,4,6,2022-03-28,2723,67
P000000590,15,2,20,2022-04-19,19327,135
P000000591,25,4,15,2022-01-18,9058,229
P000000592,2,4,12,2022-01-17,2996,88
P000000593,20,4,15,2022-02-15,8848,211
P000000594,20,1,14,2022-11-02,14336,293
P000000595,22,5,13,2022-03-21,16401,179
P000000596,6,4,6,2022-05-01,5173,129
P000000597,7,2,19,2022-05-30,6328,164
P000000598,1,5,4,2022-04-01,2534,219
P000000599,13,3,12,2022-04-22,1435,258
P000000600,3,6,14,2022-10-02,3052,116
P000000601,24,2,21,2022-12-08,910,204
P000000602,6,5,17,2022-10-08,2331,321
P000000603,21,3,19,2022-07-06,679,56
P000000604,1,2,7,2022-06-06,2086,74
P000000605,11,4,7,2022-05-04,5012,189
P000000606,19,5,1,2022-04-18,4501,131
P000000607,20,2,1,2022-01-31,13482,15
